2024-01-01 00:00:00 - INFO - order UserOrder({'status': open, 'style': MarketOrderStyle, 'order_id': 1000000018, 'price': 42314.0, 'pindex': 0, 'amount': 2.3632840194734603, 'action': 'open', 'security': 'BTC', 'side': 'long', 'filled': 2.362338705865671, 'add_time': datetime.datetime(2024, 1, 1, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 42314.0000, amount: 2.362338705865671, commission: 39.98
2024-01-02 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000019, 'price': 44230.3, 'pindex': 0, 'amount': 0.0008833635454957622, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.0008833635454957622, 'add_time': datetime.datetime(2024, 1, 2, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 44230.3000, amount: 0.0008833635454957622, commission: 0.02
2024-01-03 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000020, 'price': 44979.7, 'pindex': 0, 'amount': 0.0015552748000336293, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.0015552748000336293, 'add_time': datetime.datetime(2024, 1, 3, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 44979.7000, amount: 0.0015552748000336293, commission: 0.03
2024-01-04 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000021, 'price': 42849.5, 'pindex': 0, 'amount': 0.0004999842924880381, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.0004999842924880381, 'add_time': datetime.datetime(2024, 1, 4, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 42849.5000, amount: 0.0004999842924880381, commission: 0.01
2024-01-05 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000022, 'price': 44143.8, 'pindex': 0, 'amount': 0.00023613413820693506, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.00023613413820693506, 'add_time': datetime.datetime(2024, 1, 5, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 44143.8000, amount: 0.00023613413820693506, commission: 0.00
2024-01-07 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000023, 'price': 43956.6, 'pindex': 0, 'amount': 0.0002360117875213945, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.0002360117875213945, 'add_time': datetime.datetime(2024, 1, 7, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 43956.6000, amount: 0.0002360117875213945, commission: 0.00
2024-01-08 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000024, 'price': 43916.9, 'pindex': 0, 'amount': 0.00023598728378515185, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.00023598728378515185, 'add_time': datetime.datetime(2024, 1, 8, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 43916.9000, amount: 0.00023598728378515185, commission: 0.00
2024-01-09 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000025, 'price': 46972.6, 'pindex': 0, 'amount': 0.0002359579514021301, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.0002359579514021301, 'add_time': datetime.datetime(2024, 1, 9, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 46972.6000, amount: 0.0002359579514021301, commission: 0.00
2024-01-11 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000026, 'price': 46663.0, 'pindex': 0, 'amount': 0.00023594010317836843, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.00023594010317836843, 'add_time': datetime.datetime(2024, 1, 11, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 46663.0000, amount: 0.00023594010317836843, commission: 0.00
2024-01-12 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000027, 'price': 46337.9, 'pindex': 0, 'amount': 0.00023591653444804997, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.00023591653444804997, 'add_time': datetime.datetime(2024, 1, 12, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 46337.9000, amount: 0.00023591653444804997, commission: 0.00
2024-01-14 00:00:00 - INFO - order UserOrder({'status': filled, 'style': MarketOrderStyle, 'order_id': 1000000028, 'price': 42846.4, 'pindex': 0, 'amount': 0.00023590046997525288, 'action': 'close', 'security': 'BTC', 'side': 'long', 'filled': 0.00023590046997525288, 'add_time': datetime.datetime(2024, 1, 14, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='UTC'))}) trade price: 42846.4000, amount: 0.00023590046997525288, commission: 0.00
